Player,Salary_Rank_2020,2015,2016,2017,2018,2019,2020
Brad Wanamaker,330.0,,,,838464.0,1445697.0,2250000.0
Monta Ellis,331.0,10300000.0,10763500.0,2245400.0,2245400.0,,2245400.0
Nassir Little,332.0,,,,,2105520.0,2210640.0
RJ Hampton,333.0,,,,,,2193480.0
Solomon Hill,334.0,1358880.0,11709603.0,12236535.0,12763467.0,13290395.0,2174318.0
Matthew Dellavedova,335.0,1347276.0,9607500.0,9607500.0,9607500.0,9607500.0,2174318.0
Edmond Sumner,336.0,,,77250.0,449794.0,2000000.0,2160000.0
Anderson Varejao,337.0,10158574.0,10851659.0,,,,2141713.0
Dylan Windler,338.0,,,,,2035800.0,2137440.0
Immanuel Quickley,339.0,,,,,,2105520.0
John Konchar,340.0,,,,,79568.0,2100000.0
Landry Shamet,341.0,,,,1705920.0,1995120.0,2090040.0
Jordan Poole,342.0,,,,,1964760.0,2063280.0
Bol Bol,343.0,,,,,79568.0,2058240.0
Keldon Johnson,344.0,,,,,1950600.0,2048040.0
Payton Pritchard,345.0,,,,,,2035800.0
Robert Williams,346.0,,,,1656600.0,1937520.0,2029920.0
Tyler Johnson,347.0,845059.0,5628000.0,5821260.0,19245370.0,183115.0,2028594.0
Bruno Caboclo,348.0,1524000.0,1589640.0,2451224.0,705361.0,1845301.0,2028594.0
Langston Galloway,349.0,845059.0,5200000.0,6666667.0,7000000.0,7333333.0,2028594.0
Gary Clark,350.0,,,,674122.0,718765.0,2018458.0
Jacob Evans,351.0,,,,1646400.0,1925880.0,2017320.0
Spencer Hawes,352.0,5543725.0,5782450.0,2007058.0,2007058.0,,2007058.0
Dzanan Musa,353.0,,,,1634400.0,1911600.0,2002800.0
Damyean Dotson,354.0,,,1100000.0,1378242.0,1618520.0,2000000.0
Theo Maledon,355.0,,,,,,2000000.0
Kenrich Williams,356.0,,,,838464.0,1416852.0,2000000.0
Omari Spellman,357.0,,,,1622520.0,1897800.0,1988280.0
Quinn Cook,358.0,,95904.0,189832.0,1544951.0,3000000.0,1981649.0
Mario Hezonja,359.0,3741480.0,3909840.0,4078320.0,6500000.0,1737145.0,1977011.0
Cameron Payne,360.0,2021520.0,2112480.0,2203440.0,3440356.0,196288.0,1977011.0
Udoka Azubuike,361.0,,,,,,1977000.0
Jaden McDaniels,362.0,,,,,,1964760.0
Malachi Flynn,363.0,,,,,,1950600.0
Desmond Bane,364.0,,,,,,1936440.0
Jontay Porter,365.0,,,,,197933.0,1900000.0
Jahlil Okafor,366.0,4582680.0,4788840.0,4995120.0,1567007.0,1702486.0,1882867.0
JaKarr Sampson,367.0,1103547.0,,77250.0,85457.0,1737145.0,1882867.0
Raul Neto,368.0,840000.0,877800.0,1471382.0,2100000.0,1737145.0,1882867.0
Larry Sanders,369.0,5000000.0,5207722.0,5000000.0,,,1865546.0
Timothe Luwawu,370.0,,1326960.0,1594590.0,1880268.0,837583.0,1824003.0
David Nwaba,371.0,,73528.0,1312611.0,1512601.0,903111.0,1824003.0
Marquese Chriss,372.0,,2941440.0,3073800.0,3206160.0,,1824003.0
Georges Niang,373.0,,650000.0,177250.0,1512601.0,1645357.0,1783557.0
Rodions Kurucs,374.0,,,,1690000.0,1699236.0,1780152.0
Furkan Korkmaz,375.0,,,1465920.0,1740000.0,1620564.0,1762796.0
Alfonzo McKinnie,376.0,,,815615.0,1349383.0,2391985.0,1762796.0
PJ Dozier,377.0,,,77250.0,77250.0,183115.0,1762796.0
Damion Lee,378.0,,50000.0,138239.0,77250.0,842327.0,1762796.0
Semi Ojeleye,379.0,,,1291892.0,1378242.0,1618520.0,1752950.0
Abdel Nader,380.0,,,1167333.0,1378242.0,1618520.0,1752950.0
Thon Maker,381.0,,2568600.0,3086784.0,2799720.0,3569643.0,1737145.0
Willy Hernangomez,382.0,,1375000.0,1435750.0,1496500.0,1676735.0,1737145.0
Frank Kaminsky,383.0,2612520.0,2730000.0,2847600.0,3627842.0,4767000.0,1737145.0
DeAndre Bembry,384.0,,1499760.0,1567200.0,1634640.0,2603981.0,1737145.0
Monte Morris,385.0,,,77250.0,1349383.0,1588231.0,1723707.0
Kevin Porter,386.0,,,,,1290960.0,1717981.0
Brandon Goodwin,387.0,,,,56845.0,522738.0,1701593.0
Thanasis Antetokounmpo,388.0,30887.0,,,,1445697.0,1701593.0
Shake Milton,389.0,,,,77250.0,1445697.0,1701593.0
Ignas Brazdeikis,390.0,,,,,898310.0,1686315.0
Dwayne Bacon,391.0,,,815615.0,1378242.0,1618520.0,1678854.0
Torrey Craig,392.0,,,77250.0,2000000.0,2000000.0,1678854.0
Wesley Iwundu,393.0,,,1050000.0,1378242.0,1618520.0,1678854.0
Sterling Brown,394.0,,,815615.0,1378242.0,1618520.0,1678854.0
Devonte Graham,395.0,,,,988464.0,1416852.0,1663861.0
Jalen Brunson,396.0,,,,1230000.0,1416852.0,1663861.0
Hamidou Diallo,397.0,,,,838464.0,1416852.0,1663861.0
Duncan Robinson,398.0,,,,77250.0,1416852.0,1663861.0
Kendrick Nunn,399.0,,,,47370.0,1416852.0,1663861.0
Jarred Vanderbilt,400.0,,,,838464.0,1416852.0,1663861.0
Mitchell Robinson,401.0,,,,1485440.0,1559712.0,1663861.0
Sviatoslav Mykhailiuk,402.0,,,,1487694.0,1416852.0,1663861.0
Gary Trent Jr,403.0,,,,838464.0,1416852.0,1663861.0
Isaac Bonga,404.0,,,,1000000.0,1416852.0,1663861.0
Bruce Brown,405.0,,,,838464.0,1416852.0,1663861.0
Josh Gray,406.0,,,92159.0,,79568.0,1620564.0
Drew Eubanks,407.0,,,,77250.0,79568.0,1620564.0
Harry Giles,408.0,,,1859400.0,2207040.0,2578800.0,1620564.0
Wenyen Gabriel,409.0,,,,75000.0,1445697.0,1620564.0
Isaiah Hartenstein,410.0,,,,838464.0,,1620564.0
Daniel Gafford,411.0,,,,,898310.0,1517981.0
Juwan Morgan,412.0,,,,,746054.0,1517981.0
Miye Oni,413.0,,,,,898310.0,1517981.0
Matt Thomas,414.0,,,,,898310.0,1517981.0
Terance Mann,415.0,,,,,1000000.0,1517981.0
Terence Davis,416.0,,,,,898310.0,1517981.0
Justin James,417.0,,,,,898310.0,1517981.0
Isaiah Roby,418.0,,,,,1500000.0,1517981.0
Luguentz Dort,419.0,,,,,155647.0,1517981.0
Admiral Schofield,420.0,,,,,1000000.0,1517981.0
Jaylen Nowell,421.0,,,,,1400000.0,1517981.0
Naz Reid,422.0,,,,,898310.0,1517981.0
KZ Okpala,423.0,,,,,898310.0,1517981.0
Talen Horton-Tucker,424.0,,,,,898310.0,1517981.0
Chris Silva,425.0,,,,,466918.0,1517981.0
Jalen Lecque,426.0,,,,,898310.0,1517981.0
Jalen McDaniels,427.0,,,,,898310.0,1517981.0
Bruno Fernando,428.0,,,,,1400000.0,1517981.0
Carsen Edwards,429.0,,,,,1228026.0,1517981.0
Nicolas Claxton,430.0,,,,,898310.0,1517981.0
Cody Martin,431.0,,,,,1173310.0,1517981.0
Chris Clemons,432.0,,,,,563346.0,1517981.0
Caleb Martin,433.0,,,,,898310.0,1517981.0
Javonte Green,434.0,,,,,898310.0,1517981.0
Dean Wade,435.0,,,,,375000.0,1517981.0
Vlatko Cancar,436.0,,,,,898310.0,1517981.0
Eric Paschall,437.0,,,,,898310.0,1517981.0
Alen Smailagic,438.0,,,,,898310.0,1517981.0
Mychal Mulder,439.0,,,,,187782.0,1517981.0
Robert Woodard,440.0,,,,,,1500000.0
Damian Jones,441.0,,1171560.0,1312611.0,1544951.0,2305057.0,1487284.0
JR Smith,442.0,5000000.0,12800000.0,13760000.0,14720000.0,1746470.0,1456667.0
Paul Watson,443.0,,,,,79568.0,1445697.0
Zylan Cheatham,444.0,,,,,79568.0,1445697.0
Kelan Martin,445.0,,,,,79568.0,1445697.0
DaQuan Jeffries,446.0,,,,,898310.0,1445697.0
Jae'Sean Tate,447.0,,,,,,1445697.0
Vernon Carey,448.0,,,,,,1350000.0
Xavier Tillman,449.0,,,,,,1300000.0
Tyrell Terry,450.0,,,,,,1289846.0
Oshae Brissett,451.0,,,,,129568.0,1255493.0
Moses Brown,452.0,,,,,79568.0,1250000.0
Sindarius Thornwell,453.0,,,815615.0,1378242.0,183115.0,1235889.0
Ersan Ilyasova,454.0,7900000.0,8400000.0,6514288.0,7000000.0,7000000.0,1194542.0
Glenn Robinson III,455.0,1100000.0,1050500.0,1524305.0,4075000.0,1882867.0,1165322.0
Zhaire Smith,456.0,,,,2615160.0,3058800.0,1068200.0
Khyri Thomas,457.0,,,,838464.0,1416852.0,1061283.0
Guerschon Yabusele,458.0,,,2247480.0,2667600.0,,1039080.0
Norvel Pelle,459.0,,,,,350189.0,1014905.0
Nick Richards,460.0,,,,,,1000000.0
Lamar Stevens,461.0,,,,,,1000000.0
Jahmi'us Ramsey,462.0,,,,,,1000000.0
Kyle Singler,463.0,4500000.0,4837500.0,4666500.0,1665333.0,,999200.0
Juan Toscano-Anderson,464.0,,,,,350189.0,943963.0
Shaquille Harrison,465.0,,,230399.0,1325531.0,1620564.0,915048.0
Chimezie Metu,466.0,,,,838464.0,1416852.0,910895.0
Isaiah Joe,467.0,,,,,,898310.0
Anthony Gill,468.0,,,,,,898310.0
Elijah Hughes,469.0,,,,,,898310.0
CJ Elleby,470.0,,,,,,898310.0
Tre Jones,471.0,,,,,,898310.0
Sam Merrill,472.0,,,,,,898310.0
Jordan Nwora,473.0,,,,,,898310.0
Daniel Oturu,474.0,,,,,,898310.0
KJ Martin,475.0,,,,,,898310.0
Deividas Sirvydis,476.0,,,,,,898310.0
Iman Shumpert,477.0,8988765.0,9662922.0,10337079.0,11011234.0,,803044.0
Theo Pinson,478.0,,,,77250.0,1445697.0,802182.0
Yuta Watanabe,479.0,,,,77250.0,79568.0,737996.0
Tremont Waters,480.0,,,,,79568.0,712278.0
Frank Jackson,481.0,,,815615.0,1378242.0,1618520.0,699115.0
Rayjon Tucker,482.0,,,,,578573.0,693755.0
Tyler Cook,483.0,,,,,79568.0,693141.0
Garrison Mathews,484.0,,,,,79568.0,688052.0
Cole Aldrich,485.0,1100602.0,7643979.0,7300000.0,2000000.0,,685340.0
Shaun Livingston,486.0,5543725.0,5782450.0,7692308.0,8307692.0,,666666.0
Gabe Vincent,487.0,,,,,79568.0,660750.0
Tacko Fall,488.0,,,,,79568.0,653924.0
Max Strus,489.0,,,,,79568.0,647098.0
Alize Johnson,490.0,,,,838464.0,1416852.0,621587.0
Anthony Tolliver,491.0,3000000.0,8000000.0,5290000.0,5750000.0,434704.0,614838.0
Paul Reed,492.0,,,,,,609128.0
Tim Frazier,493.0,989216.0,2090000.0,2000000.0,1832107.0,,597463.0
Jordan Bell,494.0,,,815615.0,1378242.0,250000.0,592368.0
Amir Coffey,495.0,,,,,79568.0,578842.0
Naji Marshall,496.0,,,,,,538391.0
Kyle Guy,497.0,,,,,79568.0,537888.0
Markus Howard,498.0,,,,,,535294.0
Skylar Mays,499.0,,,,,,532218.0
Mamadi Diakite,500.0,,,,,,529341.0
Nathan Knight,501.0,,,,,,522989.0
Jared Harper,502.0,,,,,79568.0,520487.0
Saben Lee,503.0,,,,,,516836.0
Jarrell Brantley,504.0,,,,,79568.0,510586.0
Jordan McLaughlin,505.0,,,,,79568.0,503760.0
Rondae Hollis-Jefferson,506.0,1335480.0,1395600.0,1455720.0,2470356.0,2500000.0,502957.0
Reggie Perry,507.0,,,,,,489148.0
Cassius Stanley,508.0,,,,,,470690.0
Trent Forrest,509.0,,,,,,470690.0
Dakari Johnson,510.0,,,815615.0,459414.0,,459414.0
Ty-Shon Alexander,511.0,,,,,,449115.0
Sean McDermott,512.0,,,,,,449115.0
Jaylen Adams,513.0,,,,236854.0,163356.0,449115.0
Josh Hall,514.0,,,,,,449115.0
Jalen Harris,515.0,,,,,,449115.0
Keljin Blevins,516.0,,,,,,449115.0
Keita Bates-Diop,517.0,,,,838464.0,1416852.0,449115.0
Quinndary Weatherspoon,518.0,,,,,79568.0,449115.0
Cassius Winston,519.0,,,,,,449115.0
Killian Tillie,520.0,,,,,,449115.0
Kostas Antetokounmpo,521.0,,,,77250.0,79568.0,449115.0
Devontae Cacok,522.0,,,,,79568.0,449115.0
Adam Mokoka,523.0,,,,,79568.0,449115.0
Chris Chiozza,524.0,,,,137374.0,79568.0,449115.0
Jay Scrubb,525.0,,,,,,449115.0
Nate Darling,526.0,,,,,,449115.0
Devon Dotson,527.0,,,,,,449115.0
Grant Riller,528.0,,,,,,449115.0
Marques Bolden,529.0,,,,,,449115.0
Tyler Bey,530.0,,,,,,449115.0
Nate Hinton,531.0,,,,,,449115.0
Nico Mannion,532.0,,,,,,449115.0
Yogi Ferrell,533.0,,409300.0,1312611.0,3000000.0,3150000.0,444149.0
Noah Vonleh,534.0,2637720.0,2751360.0,4031018.0,1621415.0,2000000.0,427725.0
Mason Jones,535.0,,,,,,424544.0
Brodric Thomas,536.0,,,,,,412202.0
Andre Roberson,537.0,1210800.0,2183072.0,9259260.0,10000000.0,10740740.0,411639.0
Donta Hall,538.0,,,,,101504.0,376276.0
Brian Bowen,539.0,,,,,79568.0,375321.0
Anzejs Pasecniks,540.0,,,,,482144.0,374297.0
Freddie Gillespie,541.0,,,,,,363015.0
AJ Hammons,542.0,,650000.0,1312611.0,,,350087.0
Karim Mane,543.0,,,,,,344557.0
Will Magnay,544.0,,,,,,341481.0
Greg Whittington,545.0,,,,,,332252.0
Raymond Spalding,546.0,,,,1023210.0,79568.0,289156.0
Chasson Randle,547.0,,541170.0,1312611.0,975824.0,91557.0,279927.0
Justin Patton,548.0,,,2247480.0,2667600.0,483115.0,267623.0
Gary Payton II,549.0,,578636.0,154500.0,85457.0,1052909.0,249864.0
Mike James,550.0,,,164802.0,,,237648.0
Charlie Brown,551.0,,,,,79568.0,217844.0
Anthony Lamb,552.0,,,,,,215330.0
Justin Robinson,553.0,,,,,,198040.0
Axel Toupane,554.0,61775.0,977534.0,,,,196872.0
Henry Ellenson,555.0,,1704120.0,1780800.0,2199311.0,,168983.0
Ashton Hagans,556.0,,,,,,166111.0
Isaiah Thomas,557.0,6912869.0,6587131.0,6261394.0,2029463.0,,159698.0
John Henson,558.0,2943220.0,12267606.0,11422536.0,10577466.0,9732396.0,158907.0
Armoni Brooks,559.0,,,,,,135362.0
Jordan Bone,560.0,,,,,79568.0,135350.0
Jaylen Hoard,561.0,,,,,79568.0,129209.0
Justin Anderson,562.0,1449000.0,1514160.0,1579440.0,2516047.0,,125000.0
Amida Brimah,563.0,,,,,,123056.0
Didi Louzada,564.0,,,,,,123056.0
Troy Williams,565.0,,652165.0,1842176.0,77250.0,,122741.0
James Nunnally,566.0,,,,663255.0,,107674.0
Demetrius Jackson,567.0,,1450000.0,319266.0,170107.0,,92857.0
Dakota Mathias,568.0,,,,,,86132.0
Malik Fitts,569.0,,,,,,61528.0
Jeremiah Martin,570.0,,,,,79568.0,58452.0
Jerian Grant,571.0,1572360.0,1643040.0,1713840.0,2639313.0,196288.0,50000.0
Louis King,572.0,,,,,79568.0,49222.0
Cameron Oliver,573.0,,,300000.0,,,43070.0
Cam Reynolds,574.0,,,,108953.0,79568.0,33299.0
Tyler Hall,575.0,,,,,,25000.0
Andrew White,576.0,,,77250.0,,,25000.0
Elijah Bryant,577.0,,,,,,24611.0
Caleb Homesley,578.0,,,,,,20000.0
