Player,Salary_Rank_2020,2015,2016,2017,2018,2019,2020
Gorgui Dieng,67.0,1474440.0,2348782.0,14112360.0,15170787.0,16229213.0,17587688.0
Evan Fournier,68.0,2288204.0,17000000.0,17000000.0,17000000.0,17150000.0,17150000.0
Ricky Rubio,69.0,12700000.0,13400000.0,14100000.0,14800000.0,16200000.0,17000000.0
Eric Bledsoe,70.0,13500000.0,14000000.0,14500000.0,15000000.0,15625000.0,16875000.0
Eric Gordon,71.0,15514031.0,12385665.0,12943020.0,13500375.0,14057730.0,16869267.0
Caris LeVert,72.0,,1562280.0,1632480.0,1702800.0,2625717.0,16203704.0
Joe Harris,73.0,845059.0,980431.0,1524305.0,8333333.0,7666667.0,16071429.0
James Johnson,74.0,2500000.0,4000000.0,13734000.0,14420700.0,15349400.0,16047100.0
Dennis Schroeder,75.0,1763400.0,2708582.0,15500000.0,15500000.0,15500000.0,15500000.0
Cody Zeller,76.0,4204200.0,5318313.0,12584270.0,13528090.0,14471910.0,15415730.0
Danny Green,77.0,10000000.0,10000000.0,10000000.0,10000000.0,14634147.0,15365853.0
Jonas Valanciunas,78.0,4660482.0,14382023.0,15460675.0,16539326.0,16000000.0,15000000.0
Andre Iguodala,79.0,11710456.0,11131368.0,14814815.0,16000000.0,17185185.0,15000000.0
Davis Bertans,80.0,,543471.0,1312611.0,7000000.0,7000000.0,15000000.0
Marcus Morris,81.0,5000000.0,4625000.0,5000000.0,5375000.0,15000000.0,14883721.0
Rudy Gay,82.0,12403101.0,13333333.0,8406000.0,10087200.0,14500000.0,14500000.0
Kelly Oubre,83.0,1920240.0,2006640.0,2093040.0,3208630.0,15625000.0,14375000.0
Dejounte Murray,84.0,,1180080.0,1312611.0,1544951.0,2321735.0,14286000.0
Will Barton,85.0,3533333.0,3533333.0,3533333.0,11830358.0,12776786.0,13723214.0
Thaddeus Young,86.0,11235955.0,12078652.0,12921348.0,13764045.0,12900000.0,13545000.0
Patrick Mills,87.0,3200000.0,3200000.0,10714286.0,11571429.0,12678571.0,13535714.0
Terrence Ross,88.0,3553917.0,10000000.0,10500000.0,10500000.0,12500000.0,13500000.0
Malik Beasley,89.0,,1627320.0,1700640.0,1773840.0,2731713.0,13425895.0
Patrick Beverley,90.0,6486486.0,6000000.0,5513514.0,5027028.0,12345680.0,13333333.0
Christian Wood,91.0,339762.0,874636.0,,1512601.0,1645357.0,13015874.0
JJ Redick,92.0,7085000.0,7377500.0,23000000.0,12250000.0,13486300.0,13013700.0
Justise Winslow,93.0,2481720.0,2593440.0,2705040.0,3448926.0,13000000.0,13000000.0
Marcus Smart,94.0,3431040.0,3578880.0,4538019.0,11160716.0,12553571.0,12946428.0
Jusuf Nurkic,95.0,1842000.0,1921320.0,2947304.0,11111111.0,12000000.0,12888889.0
Kelly Olynyk,96.0,2165160.0,3094013.0,12007169.0,13537527.0,12667885.0,12819650.0
Trevor Ariza,97.0,8200000.0,7800000.0,7400000.0,15000000.0,12200000.0,12800000.0
Brook Lopez,98.0,19689000.0,21165675.0,22642350.0,3382000.0,12093024.0,12697675.0
Dion Waiters,99.0,5138430.0,2898000.0,12100000.0,12705000.0,375385.0,12650000.0
Cory Joseph,100.0,7000000.0,7315000.0,7630000.0,7945000.0,12000000.0,12600000.0
Markelle Fultz,101.0,,,7026240.0,8339880.0,9745200.0,12288697.0
Taurean Prince,102.0,,2318280.0,2422560.0,2526840.0,3481985.0,12250000.0
Tony Snell,103.0,1535880.0,2368327.0,9821429.0,10607143.0,11392857.0,12178571.0
Robert Covington,104.0,1000000.0,1015696.0,16698103.0,10464092.0,11301219.0,12138345.0
Kentavious Caldwell-Pope,105.0,2891760.0,3678319.0,17745894.0,12000000.0,8139282.0,12073020.0
TJ Warren,106.0,2041080.0,2128920.0,3152930.0,11750000.0,11060000.0,12000000.0
Larry Nance Jr,107.0,1155600.0,1207680.0,1471382.0,2272390.0,12727273.0,11709091.0
Nicolas Batum,108.0,11860750.0,20869566.0,22434783.0,24000000.0,25565217.0,11608231.0
Jordan Clarkson,109.0,845059.0,12500000.0,11562500.0,12500000.0,13437500.0,11500000.0
Spencer Dinwiddie,110.0,845059.0,726672.0,1524305.0,1656092.0,10605600.0,11454048.0
Dillon Brooks,111.0,,,815615.0,1378242.0,1618520.0,11400000.0
Dwight Powell,112.0,845059.0,8375000.0,9003125.0,9631250.0,10259375.0,11080125.0
Lonzo Ball,113.0,,,6286560.0,7461960.0,8719320.0,11003782.0
Josh Richardson,114.0,525093.0,874636.0,1471382.0,9367200.0,10116576.0,10865952.0
Norman Powell,115.0,650000.0,874636.0,1471382.0,9367200.0,10116576.0,10865952.0
Jeremy Lamb,116.0,3034356.0,7000000.0,7000000.0,7000000.0,10500000.0,10500000.0
DeAndre Jordan,117.0,19689000.0,21165675.0,22642350.0,22897200.0,9881598.0,10375678.0
Joe Ingles,118.0,2100000.0,2100000.0,13636364.0,12545455.0,11454546.0,10363637.0
Zion Williamson,119.0,,,,,9757440.0,10245480.0
Paul Millsap,120.0,18671659.0,20072033.0,30769231.0,29230769.0,30350000.0,10100000.0
Rodney Hood,121.0,1348440.0,1406520.0,2386864.0,3472887.0,5718000.0,10047450.0
Deandre Ayton,122.0,,,,8175840.0,9562920.0,10018200.0
Tomas Satoransky,123.0,,2870813.0,3000000.0,3129187.0,10000000.0,10000000.0
Jayson Tatum,124.0,,,5645400.0,6700800.0,7830000.0,9897120.0
Anthony Edwards,125.0,,,,,,9757440.0
Al-Farouq Aminu,126.0,8042895.0,7680965.0,7319035.0,6957105.0,9258000.0,9720900.0
Dante Exum,127.0,3777720.0,3940320.0,4992385.0,10600000.0,9600000.0,9600000.0
George Hill,128.0,8000000.0,8000000.0,20000000.0,19000000.0,10133907.0,9590602.0
De'Anthony Melton,129.0,,,,949000.0,1416852.0,9571712.0
Kyle Anderson,130.0,1142880.0,1192080.0,2151704.0,8641000.0,9073050.0,9505100.0
Meyers Leonard,131.0,3075879.0,9213484.0,9904495.0,10595506.0,11286515.0,9400000.0
Jae Crowder,132.0,6796117.0,6286408.0,6796117.0,7305825.0,7815533.0,9258000.0
Derrick Favors,133.0,12000000.0,11050000.0,12000000.0,16900000.0,17650000.0,9258000.0
Derrick Jones,134.0,,543471.0,462875.0,1512601.0,1645357.0,9258000.0
Montrezl Harrell,135.0,1000000.0,1045000.0,1471382.0,6000000.0,6000000.0,9258000.0
Serge Ibaka,136.0,12250000.0,12250000.0,20061729.0,21666667.0,23271604.0,9258000.0
Tristan Thompson,137.0,14260000.0,15330435.0,16400000.0,17469565.0,18539130.0,9258000.0
Dario Saric,138.0,,2318280.0,2422560.0,2526840.0,3481985.0,9250000.0
Ja Morant,139.0,,,,,8730240.0,9166800.0
Delon Wright,140.0,1509360.0,1577280.0,1645200.0,2536898.0,9473684.0,9000000.0
Marvin Bagley,141.0,,,,7314960.0,8556120.0,8963640.0
Cedi Osman,142.0,,,2642857.0,2775000.0,2907143.0,8840580.0
Tyus Jones,143.0,1282080.0,1339680.0,1471382.0,2444052.0,10116000.0,8817143.0
James Wiseman,144.0,,,,,,8730240.0
Royce O'Neale,145.0,,,815615.0,1378242.0,1618520.0,8500000.0
Maxi Kleber,146.0,,,815615.0,1378242.0,8000000.0,8475000.0
Thomas Bryant,147.0,,,815615.0,1378242.0,8000000.0,8333333.0
RJ Barrett,148.0,,,,,7839960.0,8231760.0
Jakob Poeltl,149.0,,2703960.0,2825640.0,2947320.0,3754885.0,8101852.0
De'Aaron Fox,150.0,,,4609200.0,5470920.0,6392760.0,8099627.0
Luka Doncic,151.0,,,,6569040.0,7683360.0,8049360.0
Louis Williams,152.0,7000000.0,7000000.0,7000000.0,8000000.0,8000000.0,8000000.0
